City,MAE (Baseline),MAE (Tuned),Δ MAE,RMSE (Baseline),RMSE (Tuned),Δ RMSE,R² (Baseline),R² (Tuned),Δ R²
São Paulo,1.12521727656162,1.5386173829150886,0.4134001063534687,1.2825481795850007,1.6896180398545397,0.40706986026953906,0.8411081624115063,0.7242399900295686,-0.1168681723819377
Johannesburg,1.3910915623479916,1.7551582352720847,0.3640666729240931,1.6381930623840129,2.0297298333348888,0.3915367709508759,0.9052666073812925,0.8545715430651486,-0.0506950643161439
Toronto,1.3004217668201388,1.6309601072760564,0.3305383404559177,1.4458296810140716,1.7567831767262099,0.31095349571213826,0.8129280843351006,0.7238082833653645,-0.08911980096973604
New York,1.298696455461546,1.587233038959511,0.28853658349796496,1.4721154182058103,1.7546019420756593,0.28248652386984907,0.7567139084195007,0.6543864425561545,-0.10232746586334618
Delhi,0.8691971427948356,1.145932209165312,0.2767350663704763,1.022068993046634,1.3272954625645228,0.3052264695178888,0.8213842268497111,0.6987725113624044,-0.12261171548730676
London,0.9850640165691965,1.256545435197945,0.2714814186287485,1.185656665069476,1.475646765870699,0.2899901008012231,0.8711139807316003,0.8003576206809438,-0.07075636005065644
Beijing,0.6669487201633361,0.9216396541803116,0.2546909340169755,0.8106548012966258,1.0852052876390745,0.2745504863424487,0.9473609774509509,0.9056678571158906,-0.04169312033506034
Los Angeles,1.6204493781394216,1.8695349523510354,0.2490855742116138,2.0202680569539266,2.2827425154804555,0.26247445852652884,0.8255300574463547,0.7772506328552302,-0.04827942459112444
Mexico City,0.9413770753644422,1.1860326472571623,0.24465557189272014,1.0975852004452331,1.4125858214192393,0.31500062097400616,0.9077284648928374,0.8471656597506456,-0.06056280514219181
Berlin,0.866625387694248,1.1093718481216241,0.24274646042737613,1.0589052272664452,1.3275544301323359,0.26864920286589067,0.8993612612470878,0.841818505797145,-0.057542755449942806
Seoul,0.8013317349049357,1.0427277705407776,0.2413960356358419,0.9746497982818063,1.23364480377783,0.2589950054960237,0.8686192595040101,0.789518088849466,-0.07910117065454414
San Francisco,1.0637554113167695,1.2813474233749909,0.21759201205822132,1.2289551315205254,1.4735121529126238,0.24455702139209845,0.8808641320885138,0.8287313310446796,-0.05213280104383422
Moscow,0.60290913257524,0.8056155778576021,0.20270644528236204,0.7376032822963745,0.9137715800941685,0.17616829779779397,0.93104325003159,0.8941705847924913,-0.03687266523909871
Istanbul,0.9304292665764704,1.132035054188505,0.20160578761203451,1.092859582786359,1.3098444090946082,0.21698482630824922,0.7276127331241007,0.6087111307960179,-0.11890160232808278
Bangkok,1.0478759211667457,1.2400654394306216,0.19218951826387598,1.2093513565593415,1.4410048819314847,0.23165352537214323,0.8227507342987587,0.748342222534861,-0.07440851176389762
Paris,0.9561660333486618,1.1210571789726724,0.16489114562401064,1.1709542353528106,1.3894556950943378,0.21850145974152713,0.9218843343236286,0.8900113932298648,-0.03187294109376382
Tokyo,0.8830240602261864,1.032346370768577,0.14932231054239054,1.0758664230015,1.2306813886112586,0.1548149656097586,0.9160353937860282,0.8901321024507779,-0.025903291335250267
Dubai,0.7642836769195118,0.8965680518510061,0.13228437493149425,0.8218504768408281,0.968906613514334,0.14705613667350592,0.0585240878299742,-0.3085412889170567,-0.3670653767470309
Sydney,0.5560738920641829,0.6728061502566819,0.116732258192499,0.762913623683643,0.8152671710121292,0.05235354732848618,0.923272823060328,0.9123809807224111,-0.010891842337916846
Singapore,0.5280679424393094,0.6077356347724786,0.07966769233316917,0.6609400763386378,0.7746674620085259,0.11372738566988805,0.8216208715186057,0.754952376540623,-0.06666849497798277
